player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Jay Ajayi (20152018) ,RB ,MIA ,MIA ,0,4,2500813,625203, , ,2019
Ron Brooks (20122015) ,CB ,BUF ,BUF ,26,4,2500540,625135,400540,16.02,2016
Cedric Thompson (20152018) ,S ,MIA ,MIA ,0,4,2500528,625132,220528,8.82,2019
David Parry (20152018) ,DT ,IND ,IND ,0,4,2500008,625002,220008,8.8,2019
Jarvis Harrison (20152018) ,G ,NYJ ,NYJ ,0,4,2499847,624962,219847,8.79,2019
Kyle Emanuel (20152018) ,OLB ,SD ,SD ,0,4,2498572,624643,218572,8.75,2019
Tyeler Davison (20152018) ,DT ,NO ,NO ,0,4,2497225,624306,217225,8.7,2019
Karlos Williams (20152018) ,RB ,BUF ,BUF ,22,4,2495352,623838,215352,8.63,2019
Tony Lippett (20152018) ,WR ,MIA ,MIA ,0,4,2494763,623691,214763,8.61,2019
C.J. Uzomah (20152018) ,TE ,CIN ,CIN ,22,4,2492762,623191,212762,8.54,2019
Shaquille Riddick (20152018) ,DE ,ARI ,ARI ,22,4,2491833,622958,211833,8.5,2019
Jared Crick (20122015) ,DE ,HOU ,HOU ,25,4,2491500,622875,391500,15.71,2016
J.J. Nelson (20152018) ,WR ,ARI ,ARI ,23,4,2489800,622450,209800,8.43,2019
Jesse James (20152018) ,TE ,PIT ,PIT ,0,4,2488912,622228,208912,8.39,2019
Adrien Robinson (20122015) ,TE ,NYG ,NYG ,26,4,2485652,621413,385652,15.52,2016
Neiron Ball (20152018) ,OLB ,OAK ,OAK ,0,4,2485324,621331,205324,8.26,2019
Kenny Bell (20152018) ,WR ,TB ,TB ,0,4,2484836,621209,204836,8.24,2019
Ryan Russell (20152018) ,DE ,DAL ,DAL ,0,4,2482987,620747,202987,8.18,2019
Joe Cardona (20152018) ,LS ,NE ,NE ,0,4,2480000,620000,100000,4.03,2019
Lorenzo Doss (20152018) ,CB ,DEN ,DEN ,0,4,2477213,619303,197213,7.96,2019
Bradley Pinion (20152018) ,P ,SF ,SF ,21,4,2474200,618550,194200,7.85,2019
D.J. Alexander (20152018) ,OLB ,KC ,KC ,0,4,2473254,618314,166254,6.72,2019
James O'Shaughnessy (20152018) ,TE ,KC ,KC ,0,4,2473254,618314,166254,6.72,2019
Damian Swann (20152018) ,CB ,NO ,NO ,0,4,2467231,616808,187231,7.59,2019
Michael Burton (20152018) ,FB ,DET ,DET ,0,4,2464356,616089,184356,7.48,2019
Kyle Juszczyk (20132016) ,FB ,BAL ,BAL ,24,4,2460584,615146,300584,12.22,2017
Devin Taylor (20132016) ,DE ,DET ,DET ,25,4,2460584,615146,300584,12.22,2017
Levine Toilolo (20132016) ,TE ,ATL ,ATL ,24,4,2460584,615146,300584,12.22,2017
Jack Crawford (20142015) ,DE ,DAL ,DAL ,26,2,1230000,615000, , ,2016
Josh Bush (20142015) ,S ,DEN ,DEN ,26,2,1230000,615000, , ,2016
Justin Trattou (20132015) ,S ,MIN ,NYG ,26,2,1230000,615000, , ,2016
Jerry Franklin (20142015) ,OLB ,NO ,KC ,27,2,1230000,615000, , ,2016
Jamell Fleming (20142015) ,CB ,KC ,KC ,26,2,1230000,615000, , ,2016
Brandon Weeden (20142015) ,QB ,DAL ,DAL ,31,2,1230000,615000, , ,2016
Frank Kearse (20142015) ,DT ,WAS ,WAS ,26,2,1230000,615000, , ,2016
Marvin Austin (20142015) ,DT ,DEN ,DEN ,26,2,1230000,615000, , ,2016
T.J. Graham (20142015) ,WR ,NYJ ,NYJ ,26,2,1230000,615000, , ,2016
Chris Owusu (20142015) ,WR ,NYJ ,NYJ ,25,2,1230000,615000, , ,2016
Terrell Manning (20142015) ,ILB ,NYG ,CHI ,25,2,1230000,615000, , ,2016
Julian Vandervelde (20142015) ,C ,PHI ,PHI ,27,2,1230000,615000, , ,2016
Preston Parker (20142015) ,WR ,NYG ,NYG ,28,2,1230000,615000, , ,2016
Julian Stanford (20142015) ,OLB ,DET ,DET ,24,2,1230000,615000, , ,2016
Marc Mariani (20142015) ,WR ,CHI ,CHI ,28,2,1230000,615000, , ,2016
Jeremy Stewart (20142015) ,RB ,DEN ,DEN ,26,2,1230000,615000, , ,2016
RasI Dowling (20142015) ,CB ,OAK ,NYJ ,27,2,1230000,615000, , ,2016
David Mayo (20152018) ,LB ,CAR ,CAR ,21,4,2446254,611564,166254,6.8,2019
Tye Smith (20152018) ,CB ,SEA ,SEA ,0,4,2446254,611564,166254,6.8,2019
Nick Boyle (20152018) ,TE ,BAL ,BAL ,22,4,2446254,611564,166254,6.8,2019
Cameron ArtisPayne (20152018) ,RB ,CAR ,CAR ,25,4,2446254,611564,166254,6.8,2019
Keith Mumphery (20152018) ,WR ,HOU ,HOU ,0,4,2446254,611564,166254,6.8,2019
Robert Myers (20152018) ,G ,BAL ,BAL ,23,4,2446254,611564,166254,6.8,2019
Dezman Moses (20152015) ,OLB ,KC ,KC ,26,1,610000,610000, , ,2016
Ryan Grant (20142017) ,WR ,WAS ,WAS ,24,4,2433612,608403,213612,8.78,2018
Kadeem Edwards (20142017) ,G ,TB ,TB ,24,4,2432000,608000,212000,8.72,2018
Telvin Smith (20142017) ,OLB ,JAC ,JAC ,24,4,2431052,607763,211052,8.68,2018
Deiontrez Mount (20152018) ,OLB ,TEN ,TEN ,0,4,2428152,607038,148152,6.1,2019
David Yankey (20142017) ,G ,MIN ,MIN ,23,4,2426900,606725,206900,8.53,2018
Matthew Wells (20152018) ,LB ,NE ,NE ,0,4,2423892,605973,143892,5.94,2019
Devin Street (20142017) ,WR ,DAL ,DAL ,24,4,2421972,605493,201972,8.34,2018
Max Valles (20152018) ,OLB ,OAK ,OAK ,0,4,2421573,605393,141573,5.85,2019
Jordan Kovacs (20152015) ,S ,MIA ,MIA ,25,1,605000,605000, , ,2016
Bene Benwikere (20142017) ,CB ,CAR ,CAR ,23,4,2419000,604750,199000,8.23,2018
Michael Bennett (20152018) ,DT ,JAC ,JAC ,0,4,2418698,604675,138698,5.73,2019
Kevin Pamphile (20142017) ,LT ,TB ,TB ,24,4,2418500,604625,198500,8.21,2018
Aaron Lynch (20142017) ,OLB ,SF ,SF ,22,4,2418000,604500,198000,8.19,2018
Kyshoen Jarrett (20152018) ,S ,WAS ,WAS ,0,4,2415630,603908,135630,5.61,2019
Avery Williamson (20142017) ,ILB ,TEN ,TEN ,23,4,2414452,603613,194452,8.05,2018
Tevin Mitchel (20152018) ,CB ,WAS ,WAS ,0,4,2413164,603291,133164,5.52,2019
Nat Berhe (20142017) ,S ,NYG ,NYG ,24,4,2412800,603200,192800,7.99,2018
Cyril Richardson (20142017) ,G ,BUF ,BUF ,24,4,2412000,603000,192000,7.96,2018
Tayo Fabuluje (20152018) ,T ,CHI ,CHI ,24,4,2411364,602841,131364,5.45,2019
Arthur Lynch (20142017) ,TE ,MIA ,MIA ,25,4,2411300,602825,191300,7.93,2018
Lamin Barrow (20142017) ,ILB ,DEN ,DEN ,24,4,2411160,602790,191160,7.93,2018
Kaelin Clay (20152018) ,WR ,TB ,TB ,23,4,2410477,602619,130477,5.41,2019
Caraun Reid (20142017) ,DT ,DET ,DET ,23,4,2408880,602220,188880,7.84,2018
Tyrus Thompson (20152018) ,T ,MIN ,MIN ,0,4,2408807,602202,128807,5.35,2019
Chris Smith (20142017) ,OLB ,JAC ,JAC ,27,4,2407252,601813,187252,7.78,2018
Geremy Davis (20152018) ,WR ,NYG ,NYG ,0,4,2407082,601771,127082,5.28,2019
Ed Stinson (20142017) ,DE ,ARI ,ARI ,25,4,2406740,601685,186740,7.76,2018
Evan Spencer (20152018) ,WR ,WAS ,WAS ,0,4,2406576,601644,126576,5.26,2019
Corey Linsley (20142017) ,C ,GB ,GB ,24,4,2405000,601250,185000,7.69,2018
Tony Steward (20152018) ,OLB ,BUF ,BUF ,22,4,2403830,600958,123830,5.15,2019
Aaron Murray (20142017) ,QB ,KC ,KC ,24,4,2402424,600606,182424,7.59,2018
Charles Gaines (20152018) ,CB ,CLE ,CLE ,22,4,2402137,600534,122137,5.08,2019
Ian Silberman (20152018) ,G ,SF ,SF ,0,4,2401677,600419,121677,5.07,2019
A.J. McCarron (20142017) ,QB ,CIN ,CIN ,24,4,2401652,600413,181652,7.56,2018
JaCorey Shepherd (20152018) ,CB ,PHI ,PHI ,0,4,2401111,600278,121111,5.04,2019
Darius Philon (20152018) ,DT ,SD ,SD ,0,4,2400587,600147,120587,5.02,2019
Mike Daniels (20122015) ,DE ,GB ,GB ,26,4,2400584,600146,300584,12.52,2016
Rhett Ellison (20122015) ,TE ,MIN ,MIN ,26,4,2400584,600146,300584,12.52,2016
Brandon Mosley (20122015) ,G ,NYG ,NYG ,26,4,2400584,600146,300584,12.52,2016
Sanders Commings (20132016) ,S ,KC ,KC ,25,4,2400512,600128,215512,8.98,2017
Dustin Hopkins (20152017) ,K ,NO ,NO ,24,3,1800000,600000, , ,2018
Kevin Graf (20152017) ,RT ,PHI ,PHI ,24,3,1800000,600000, , ,2018
Brian Tyms (20152015) ,WR ,NE ,NE ,26,1,600000,600000, , ,2016
Joseph Morgan (20152015) ,WR ,NO ,NO ,27,1,600000,600000,15000,2.5,2016
B.J. Dubose (20152018) ,DE ,MIN ,MIN ,0,4,2399860,599965,119860,4.99,2019
Nick O'Leary (20152018) ,TE ,BUF ,BUF ,22,4,2399690,599923,119690,4.99,2019
Malcolm Johnson (20152018) ,TE ,CLE ,CLE ,22,4,2399451,599863,119451,4.98,2019
Randall Evans (20152018) ,CB ,PHI ,PHI ,0,4,2399363,599841,119363,4.97,2019
Derron Smith (20152018) ,S ,CIN ,CIN ,23,4,2398632,599658,118632,4.95,2019
Ryan Carrethers (20142017) ,DT ,SD ,SD ,24,4,2398532,599633,178532,7.44,2018
Jonathan Newsome (20142017) ,OLB ,IND ,IND ,24,4,2398108,599527,178108,7.43,2018
Randall Telfer (20152018) ,TE ,CLE ,CLE ,23,4,2397537,599384,117537,4.9,2019
Leterrius Walton (20152018) ,DT ,PIT ,PIT ,0,4,2396930,599233,116930,4.88,2019
Vinnie Sunseri (20142017) ,S ,NO ,NO ,21,4,2396500,599125,176500,7.36,2018
Quandre Diggs (20152018) ,CB ,DET ,DET ,0,4,2395352,598838,115352,4.82,2019
A.J. Derby (20152018) ,TE ,NE ,NE ,0,4,2392053,598013,112053,4.68,2019
Darius Kilgo (20152018) ,DT ,DEN ,DEN ,0,4,2391556,597889,111556,4.66,2019
Marquis Spruill (20142017) ,ILB ,ATL ,ATL ,24,4,2391480,597870,171480,7.17,2018
Darren Waller (20152018) ,WR ,BAL ,BAL ,22,4,2391096,597774,111096,4.65,2019
Ronald Powell (20142017) ,OLB ,NO ,NO ,24,4,2388860,597215,168860,7.07,2018
Josh Robinson (20152018) ,RB ,IND ,IND ,0,4,2388166,597042,108166,4.53,2019
Aaron Ripkowski (20152018) ,FB ,GB ,GB ,0,4,2386395,596599,106395,4.46,2019
Keith Reaser (20142017) ,CB ,SF ,SF ,24,4,2384800,596200,164800,6.91,2018
Amarlo Herrera (20152018) ,ILB ,IND ,IND ,0,4,2384656,596164,104656,4.39,2019
Jordan Tripp (20142017) ,OLB ,MIA ,MIA ,24,4,2382800,595700,162800,6.83,2018
Andy Gallik (20152018) ,C ,TEN ,TEN ,0,4,2381473,595368,101473,4.26,2019
Stephen Hill (20152015) ,WR ,CAR ,CAR ,24,1,594500,594500,9500,1.6,2016
Da'Ron Brown (20152018) ,WR ,KC ,KC ,0,4,2375056,593764,68056,2.87,2019
Denard Robinson (20132016) ,RB ,JAC ,JAC ,24,4,2373612,593403,213612,9,2017
Earl Wolff (20132016) ,S ,PHI ,PHI ,25,4,2372000,593000,212000,8.94,2017
Obum Gwacham (20152018) ,DE ,SEA ,SEA ,0,4,2370487,592622,90487,3.82,2019
Christian Ringo (20152018) ,DE ,GB ,GB ,0,4,2370487,592622,90487,3.82,2019
Reshard Cliett (20152018) ,OLB ,HOU ,HOU ,0,4,2370487,592622,90487,3.82,2019
Anthony Chickillo (20152018) ,DE ,PIT ,PIT ,0,4,2370487,592622,90487,3.82,2019
Kennard Backman (20152018) ,TE ,GB ,GB ,0,4,2370487,592622,90487,3.82,2019
Kristjan Sokoli (20152018) ,C ,SEA ,SEA ,0,4,2370487,592622,90487,3.82,2019
Cody Wichmann (20152018) ,G ,STL ,STL ,0,4,2370487,592622,90487,3.82,2019
Christian Covington (20152018) ,DT ,HOU ,HOU ,0,4,2370487,592622,90487,3.82,2019
Rakeem NunezRoches (20152018) ,DT ,KC ,KC ,0,4,2370487,592622,90487,3.82,2019
Tharold Simon (20132016) ,CB ,SEA ,SEA ,24,4,2366900,591725,206900,8.74,2017
Wesley Johnson (20142017) ,C ,NYJ ,PIT ,24,4,2364560,591140,144560,6.11,2018
Devon Kennard (20142017) ,OLB ,NYG ,NYG ,24,4,2364560,591140,144560,6.11,2018
John Urschel (20142017) ,G ,BAL ,BAL ,24,4,2364560,591140,144560,6.11,2018
Jared Abbrederis (20142017) ,WR ,GB ,GB ,24,4,2364560,591140,144560,6.11,2018
Montori Hughes (20132016) ,DE ,IND ,IND ,24,4,2361972,590493,201972,8.55,2017
Stepfan Taylor (20132016) ,RB ,ARI ,ARI ,24,4,2360500,590125,200500,8.49,2017
Anthony Morris (20152018) ,T ,OAK ,OAK ,0,4,2359497,589874,79497,3.37,2019
Hayes Pullard (20152018) ,ILB ,CLE ,CLE ,23,4,2359240,589810,79240,3.36,2019
Oday Aboushi (20132016) ,LT ,NYJ ,NYJ ,24,4,2359000,589750,199000,8.44,2017
Johnathan Meeks (20132016) ,S ,BUF ,BUF ,25,4,2358000,589500,198000,8.4,2017
Neal Sterling (20152018) ,WR ,JAC ,JAC ,0,4,2357629,589407,77629,3.29,2019
Andre Debose (20152018) ,WR ,OAK ,OAK ,0,4,2357013,589253,77013,3.27,2019
Austin Reiter (20152018) ,C ,WAS ,WAS ,0,4,2354925,588731,74925,3.18,2019
Kenny Stills (20132016) ,WR ,MIA ,NO ,23,4,2354452,588613,194452,8.26,2017
Deon Simon (20152018) ,DT ,NYJ ,NYJ ,0,4,2353296,588324,73296,3.11,2019
Steve Williams (20132016) ,CB ,SD ,SD ,24,4,2352800,588200,192800,8.19,2017
Bryce Hager (20152018) ,ILB ,STL ,STL ,0,4,2352141,588035,72141,3.07,2019
Jake Rodgers (20152018) ,T ,ATL ,ATL ,23,4,2351819,587955,71819,3.05,2019
Bobby Hart (20152018) ,G ,NYG ,NYG ,0,4,2351589,587897,71589,3.04,2019
A.J. Klein (20132016) ,OLB ,CAR ,CAR ,24,4,2351300,587825,191300,8.14,2017
Brandon McGee (20132016) ,CB ,STL ,STL ,24,4,2351160,587790,191160,8.13,2017
Martin Ifedi (20152018) ,DE ,STL ,STL ,0,4,2351097,587774,71097,3.02,2019
Austin Shepherd (20152018) ,T ,MIN ,MIN ,0,4,2349694,587424,69694,2.97,2019
Ben Koyack (20152018) ,TE ,JAC ,JAC ,0,4,2349298,587325,69298,2.95,2019
Marcus Murphy (20152018) ,RB ,NO ,NO ,0,4,2349289,587322,69289,2.95,2019
Zach Fulton (20142017) ,G ,KC ,KC ,23,4,2349220,587305,104220,4.44,2018
Joseph Randle (20132016) ,RB ,DAL ,DAL ,23,4,2348820,587205,188880,8.04,2017
Jeoffrey Pagan (20142017) ,DE ,HOU ,HOU ,22,4,2348820,587205,128820,5.48,2018
Joey Iosefa (20152018) ,FB ,TB ,TB ,0,4,2348340,587085,68340,2.91,2019
Edmond Robinson (20152018) ,OLB ,MIN ,MIN ,0,4,2348314,587079,68314,2.91,2019
Cooper Taylor (20132016) ,S ,NYG ,NYG ,25,4,2347252,586813,187252,7.98,2017
Stansly Maponga (20132016) ,DE ,ATL ,ATL ,24,4,2346740,586685,186740,7.96,2017
Dezmin Lewis (20152018) ,WR ,BUF ,BUF ,22,4,2346529,586632,66529,2.84,2019
Kenny Hilliard (20152018) ,RB ,HOU ,HOU ,0,4,2345379,586345,65379,2.79,2019
Laurent DuvernayTardif (20142017) ,RT ,KC ,KC ,24,4,2345300,586325,100300,4.28,2018
Zach Mettenberger (20142017) ,QB ,TEN ,TEN ,24,4,2345116,586279,125116,5.34,2018
Mark Nzeocha (20152018) ,OLB ,DAL ,DAL ,0,4,2344349,586087,64349,2.74,2019
Jeff Locke (20132016) ,P ,MIN ,MIN ,25,4,2344192,586048,184192,7.86,2017
Tanner Hawkinson (20132016) ,G ,CIN ,CIN ,25,4,2342424,585606,182424,7.79,2017
Brian Mihalik (20152018) ,DE ,PHI ,PHI ,0,4,2341657,585414,61657,2.63,2019
Quinton Dial (20132016) ,DT ,SF ,SF ,25,4,2341652,585413,181652,7.76,2017
Kenneth Acker (20142017) ,CB ,SF ,SF ,23,4,2340600,585150,120600,5.15,2018
Ben Jacobs (20152015) ,ILB ,CAR ,CAR ,27,1,585000,585000, , ,2016
Brian Folkerts (20152015) ,C ,CAR ,CAR ,25,1,585000,585000, , ,2016
Quinton Pointer (20152015) ,S ,BAL ,BAL ,27,1,585000,585000, , ,2016
Konrad Reuland (20152015) ,TE ,BAL ,BAL ,28,1,585000,585000, , ,2016
Matt Conrath (20152015) ,DT ,PIT ,PIT ,25,1,585000,585000, , ,2016
Ryan Seymour (20152015) ,G ,CLE ,CLE ,25,1,585000,585000, , ,2016
Kamar Aiken (20152015) ,WR ,BAL ,BAL ,26,1,585000,585000, , ,2016
Laron Byrd (20152015) ,WR ,MIA ,MIA ,25,1,585000,585000, , ,2016
Rashaan Melvin (20152015) ,CB ,BAL ,BAL ,25,1,585000,585000, , ,2016
Brynden Trawick (20152015) ,S ,BAL ,BAL ,25,1,585000,585000, , ,2016
Senio Kelemete (20152015) ,G ,NO ,NO ,25,1,585000,585000, , ,2016
Chris LewisHarris (20152015) ,CB ,CIN ,CIN ,26,1,585000,585000, , ,2016
Mike Brown (20152015) ,WR ,CAR ,CAR ,26,1,585000,585000, , ,2016
Chris Banjo (20152015) ,S ,GB ,GB ,25,1,585000,585000, , ,2016
Michael Thomas (20152015) ,S ,MIA ,MIA ,26,1,585000,585000, , ,2016
Cameron Lawrence (20152015) ,OLB ,DAL ,DAL ,24,1,585000,585000, , ,2016
Ron Leary (20152015) ,G ,DAL ,DAL ,26,1,585000,585000, , ,2016
Darrion Weems (20152015) ,LT ,DAL ,DAL ,26,1,585000,585000, , ,2016
Terence Garvin (20152015) ,ILB ,PIT ,PIT ,24,1,585000,585000, , ,2016
Tyler Clutts (20152015) ,FB ,DAL ,DAL ,30,1,585000,585000, , ,2016
Michael Preston (20152015) ,WR ,MIA ,MIA ,26,1,585000,585000, , ,2016
Orson Charles (20152015) ,FB ,NO ,NO ,24,1,585000,585000, , ,2016
Mike Brewster (20152015) ,C ,NO ,NO ,26,1,585000,585000, , ,2016
Edwin Baker (20152015) ,RB ,NO ,NO ,24,1,585000,585000, , ,2016
Chris Greenwood (20152015) ,CB ,BAL ,BAL ,26,1,585000,585000, , ,2016
Kevin Brock (20152015) ,TE ,NO ,NO ,29,1,585000,585000, , ,2016
Phillip Hunt (20152015) ,OLB ,DET ,DET ,29,1,585000,585000, , ,2016
Nathan Stupar (20152015) ,ILB ,ATL ,ATL ,27,1,585000,585000, , ,2016
Larry Donnell (20152015) ,TE ,NYG ,NYG ,26,1,585000,585000, , ,2016
Kevin Cone (20152015) ,WR ,MIA ,CLE ,27,1,585000,585000, , ,2016
Chris Neild (20152015) ,DT ,HOU ,HOU ,27,1,585000,585000, , ,2016
Bear Pascoe (20152015) ,TE ,CHI ,CHI ,29,1,585000,585000, , ,2016
McLeod BethelThompson (20152015) ,QB ,MIA ,MIA ,27,1,585000,585000, , ,2016
Jorvorskie Lane (20152015) ,FB ,TB ,TB ,28,1,585000,585000, , ,2016
Daryl Richardson (20152015) ,RB ,NYJ ,NYJ ,25,1,585000,585000, , ,2016
Chris Hogan (20152015) ,WR ,BUF ,BUF ,26,1,585000,585000, , ,2016
Corbin Bryant (20152015) ,DT ,BUF ,BUF ,27,1,585000,585000, , ,2016
Bradley McDougald (20152015) ,S ,TB ,TB ,24,1,585000,585000, , ,2016
Dion Lewis (20152015) ,RB ,NE ,NE ,24,1,585000,585000, , ,2016
Brandon Marshall (20152015) ,ILB ,DEN ,DEN ,25,1,585000,585000, , ,2016
Cody White (20152015) ,C ,HOU ,HOU ,27,1,585000,585000, , ,2016
Ryan Davis (20152015) ,DE ,JAC ,JAC ,26,1,585000,585000, , ,2016
Tony JerodEddie (20152015) ,DE ,SF ,SF ,25,1,585000,585000, , ,2016
Junior Hemingway (20152015) ,WR ,KC ,KC ,26,1,585000,585000, , ,2016
Chase Reynolds (20152015) ,RB ,STL ,STL ,27,1,585000,585000, , ,2016
Brandon Washington (20152015) ,RT ,STL ,STL ,26,1,585000,585000, , ,2016
John Simon (20152015) ,OLB ,HOU ,HOU ,24,1,585000,585000, , ,2016
Josh Martin (20152015) ,OLB ,KC ,KC ,23,1,585000,585000, , ,2016
Matt McCants (20152015) ,C ,OAK ,OAK ,25,1,585000,585000, , ,2016
Taylor Boggs (20152015) ,G ,DET ,DET ,28,1,585000,585000, , ,2016
Case Keenum (20152015) ,QB ,STL ,STL ,27,1,585000,585000, , ,2016
Nate Ness (20152015) ,S ,DET ,DET ,28,1,585000,585000, , ,2016
Neiko Thorpe (20152015) ,CB ,OAK ,OAK ,25,1,585000,585000, , ,2016
Josh Kaddu (20152015) ,OLB ,MIN ,MIN ,25,1,585000,585000, , ,2016
Mario Alford (20152018) ,WR ,CIN ,CIN ,23,4,2339104,584776,59104,2.53,2019
Luke Willson (20132016) ,TE ,SEA ,SEA ,25,4,2338532,584633,178532,7.63,2017
Gerod Holliman (20152018) ,S ,PIT ,PIT ,0,4,2338515,584629,58515,2.5,2019
Micah Hyde (20132016) ,S ,GB ,GB ,24,4,2338108,584527,178108,7.62,2017
Alfred Blue (20142017) ,RB ,HOU ,HOU ,24,4,2337932,584483,117932,5.04,2018
Corey Robinson (20152018) ,T ,DET ,DET ,0,4,2337908,584477,57908,2.48,2019
Ifo EkpreOlomu (20152018) ,CB ,CLE ,CLE ,22,4,2337301,584325,57301,2.45,2019
Dexter McDonald (20152018) ,CB ,OAK ,OAK ,0,4,2336850,584213,56850,2.43,2019
Zac Stacy (20132016) ,RB ,NYJ ,STL ,24,4,2336500,584125,176500,7.55,2017
Laurence Gibson (20152018) ,T ,DAL ,DAL ,0,4,2336353,584088,56353,2.41,2019
Trenton Brown (20152018) ,G ,SF ,SF ,0,4,2335893,583973,55893,2.39,2019
Antone Exum (20142017) ,CB ,MIN ,MIN ,24,4,2335788,583947,115788,4.96,2018
Tre McBride (20152018) ,WR ,TEN ,TEN ,0,4,2335433,583858,55433,2.37,2019
Geoff Swaim (20152018) ,TE ,DAL ,DAL ,0,4,2334734,583684,54734,2.34,2019
Darryl Roberts (20152018) ,CB ,NE ,NE ,0,4,2334223,583556,54223,2.32,2019
Ryan Murphy (20152018) ,CB ,SEA ,SEA ,0,4,2333492,583373,53492,2.29,2019
Akeem King (20152018) ,CB ,ATL ,ATL ,22,4,2332783,583196,52783,2.26,2019
Trevor Siemian (20152018) ,QB ,DEN ,DEN ,0,4,2332783,583196,52783,2.26,2019
Taurean Nixon (20152018) ,CB ,DEN ,DEN ,0,4,2332783,583196,52783,2.26,2019
Josh Furman (20152018) ,CB ,DEN ,DEN ,0,4,2332783,583196,52783,2.26,2019
Xzavier Dickson (20152018) ,OLB ,NE ,NE ,0,4,2332783,583196,52783,2.26,2019
Rory Anderson (20152018) ,TE ,SF ,SF ,0,4,2332783,583196,52783,2.26,2019
Denzell Goode (20152018) ,T ,IND ,IND ,0,4,2332783,583196,52783,2.26,2019
Gerald Christian (20152018) ,TE ,ARI ,ARI ,21,4,2332783,583196,52783,2.26,2019
Robert Herron (20142017) ,WR ,TB ,TB ,23,4,2332000,583000,112000,4.8,2018
E.J. Gaines (20142017) ,CB ,STL ,STL ,23,4,2327672,581918,107672,4.63,2018
TJ Jones (20142017) ,WR ,DET ,DET ,23,4,2326200,581550,106200,4.57,2018
Pat O'Donnell (20142017) ,P ,CHI ,CHI ,24,4,2325308,581327,105308,4.53,2018
Jordan Zumwalt (20142017) ,ILB ,PIT ,PIT ,23,4,2324852,581213,104852,4.51,2018
Jordan Mills (20132016) ,RT ,CHI ,CHI ,24,4,2324800,581200,164800,7.09,2017
Demetri Goodson (20142017) ,CB ,GB ,GB ,26,4,2323152,580788,103152,4.44,2018
Mike Gillislee (20132016) ,RB ,MIA ,MIA ,24,4,2322800,580700,162800,7.01,2017
Zach Moore (20142017) ,DE ,NE ,NE ,24,4,2322200,580550,102200,4.4,2018
Sam Martin (20132016) ,P ,DET ,DET ,25,4,2320300,580075,160300,6.91,2017
Tyler Gaffney (20142017) ,RB ,NE ,CAR ,24,4,2316600,579150,96600,4.17,2018
Luke Bowanko (20142017) ,C ,JAC ,JAC ,24,4,2314052,578513,94052,4.06,2018
Malik Jackson (20122015) ,DE ,DEN ,DEN ,25,4,2313612,578403,213612,9.23,2016
Tahir Whitehead (20122015) ,OLB ,DET ,DET ,25,4,2312000,578000,212000,9.17,2016
Robert Blanton (20122015) ,S ,MIN ,MIN ,25,4,2311052,577763,211052,9.13,2016
Eric Kush (20132016) ,C ,KC ,KC ,25,4,2310116,577529,125116,5.42,2017
Adam Gettis (20142015) ,G ,NYG ,NYG ,26,2,1155000,577500, , ,2016
Orie Lemon (20142015) ,ILB ,TB ,TB ,27,2,1155000,577500, , ,2016
Eric Pinkins (20142017) ,ILB ,SEA ,SEA ,23,4,2308232,577058,88232,3.82,2018
Najee Goode (20122015) ,ILB ,PHI ,TB ,26,4,2306900,576725,206900,8.97,2016
Caleb Sturgis (20132016) ,K ,MIA ,MIA ,25,4,2304560,576140,144560,6.27,2017
Josh Boyd (20132016) ,DT ,GB ,GB ,26,4,2304560,576140,144560,6.27,2017
Ricky Wagner (20132016) ,RT ,BAL ,BAL ,25,4,2304560,576140,144560,6.27,2017
Josh Norman (20122015) ,CB ,CAR ,CAR ,27,4,2299000,574750,199000,8.66,2016
IK Enemkpali (20142017) ,DE ,NYJ ,NYJ ,24,4,2298680,574670,78680,3.42,2018
Jay Prosch (20142017) ,FB ,HOU ,HOU ,22,4,2298680,574670,78680,3.42,2018
Marquis Flowers (20142017) ,OLB ,CIN ,CIN ,23,4,2298680,574670,78680,3.42,2018
Daniel McCullers (20142017) ,DT ,PIT ,PIT ,22,4,2298680,574670,78680,3.42,2018
Johnnie Troutman (20122015) ,G ,SD ,SD ,27,4,2291752,572938,191752,8.37,2016
Andre Hal (20142017) ,CB ,HOU ,HOU ,23,4,2289124,572281,69124,3.02,2018
Josh Evans (20132016) ,S ,JAC ,JAC ,24,4,2288820,572205,128820,5.63,2017
Dennis Kelly (20122015) ,G ,PHI ,PHI ,25,4,2288800,572200,188800,8.25,2016
Michael Campanaro (20142017) ,WR ,BAL ,BAL ,24,4,2287500,571875,67500,2.95,2018
Travis Carrie (20142017) ,CB ,OAK ,OAK ,25,4,2286964,571741,66964,2.93,2018
Shamar Stephen (20142017) ,DT ,MIN ,MIN ,24,4,2285148,571287,65148,2.85,2018
Randell Johnson (20142017) ,OLB ,BUF ,BUF ,24,4,2283732,570933,63732,2.79,2018
Storm Johnson (20142017) ,RB ,JAC ,JAC ,23,4,2282728,570682,62728,2.75,2018
Brandon Watts (20142017) ,OLB ,MIN ,MIN ,24,4,2282448,570612,62448,2.74,2018
Beau Allen (20142017) ,DT ,PHI ,PHI ,23,4,2282248,570562,62248,2.73,2018
Jabari Price (20142017) ,CB ,MIN ,MIN ,22,4,2281820,570455,61820,2.71,2018
Dominique Jones (20132015) ,TE ,DEN ,BUF ,27,3,1710000,570000, , ,2016
