player,position,team,teamsignedwith,age,years,contract,salary,guaranteed,guaranteedpct,yearfreeagent
Terrance Knighton (20152015) ,DT ,WAS ,WAS ,29,1,4450000,4450000,2950000,66.29,2016
Brooks Reed (20152019) ,OLB ,ATL ,ATL ,28,5,22000000,4400000,9000000,40.91,2020
Delanie Walker (20132016) ,TE ,TEN ,TEN ,30,4,17500000,4375000,5600000,32,2017
Chris Clemons (20142017) ,DE ,JAC ,JAC ,33,4,17500000,4375000,4475000,25.57,2018
Glenn Dorsey (20142016) ,DT ,SF ,SF ,30,2,8725000,4362500,2075000,23.78,2017
Doug Baldwin (20142016) ,WR ,SEA ,SEA ,26,3,13000000,4333333,8500000,65.38,2017
Kendall Langford (20152018) ,DE ,IND ,IND ,29,4,17200000,4300000,2500000,14.53,2019
Stephen Gostkowski (20152018) ,K ,NE ,NE ,31,4,17200000,4300000,10100000,58.72,2019
Julian Edelman (20142017) ,WR ,NE ,NE ,29,4,17000000,4250000,8000000,47.06,2018
Leodis McKelvin (20132016) ,CB ,BUF ,BUF ,29,4,17000000,4250000,6000000,35.29,2017
Koa Misi (20142017) ,ILB ,MIA ,MIA ,28,4,17000000,4250000,3520000,20.71,2018
DeAngelo Hall (20142017) ,CB ,WAS ,WAS ,31,4,17000000,4250000,5650000,33.24,2018
Bruce Carter (20152018) ,OLB ,TB ,TB ,27,4,17000000,4250000,4250000,25,2019
Shawn Lauvao (20142017) ,G ,WAS ,WAS ,27,4,17000000,4250000,5000000,29.41,2018
Danny Amendola (20152017) ,WR ,NE ,NE ,29,3,12750000,4250000,500000,3.92,2018
Geoff Schwartz (20142017) ,G ,NYG ,NYG ,29,4,16800000,4200000,5700000,33.93,2018
Mike DeVito (20132015) ,DE ,KC ,KC ,31,3,12600000,4200000,6200000,49.21,2016
Sebastian Vollmer (20132016) ,RT ,NE ,NE ,31,4,16750000,4187500,8250000,49.25,2017
Kevin White (20152018) ,WR ,CHI ,CHI ,23,4,16563047,4140762,16563047,100,2019
Shane Vereen (20152017) ,RB ,NYG ,NYG ,26,3,12350000,4116667,4750000,38.46,2018
Jake Matthews (20142017) ,LT ,ATL ,ATL ,23,4,16429501,4107375,16429500,100,2018
Dan Skuta (20152019) ,OLB ,JAC ,JAC ,29,5,20500000,4100000,8100000,39.51,2020
Barkevious Mingo (20132016) ,OLB ,CLE ,CLE ,24,4,16347001,4086750,16347001,100,2017
Owen Daniels (20152017) ,TE ,DEN ,DEN ,32,3,12250000,4083333,3000000,24.49,2018
Jeremy Zuttah (20142018) ,C ,BAL ,BAL ,29,3,12250000,4083333,6500000,53.06,2019
Corey Graham (20142017) ,S ,BUF ,BUF ,30,4,16300000,4075000,5500000,33.74,2018
Morris Claiborne (20122015) ,CB ,DAL ,DAL ,25,4,16264502,4066126,16264502,100,2016
Roy Miller (20152018) ,DT ,JAC ,JAC ,28,4,16250000,4062500,600000,3.69,2019
Julio Jones (20112015) ,WR ,ATL ,ATL ,26,4,16183750,4045938,16183750,100,2016
Zach Strief (20142018) ,RT ,NO ,NO ,31,5,20000000,4000000,8400000,42,2019
Brandon Pettigrew (20142017) ,TE ,DET ,DET ,30,4,16000000,4000000,8000000,50,2018
Erik Walden (20132016) ,OLB ,IND ,IND ,29,4,16000000,4000000,8000000,50,2017
