player,position,team,teamsignedwith,age,years,contract,guaranteed,guaranteedpct,salary,yearfreeagent
Al-Farouq Aminu (2015-2018) ,SF ,POR ,POR ,24,4,30000000,30000000,100,7500000,2019
Cory Joseph (2015-2018) ,PG ,TOR ,TOR ,23,4,29890000,29890000,100,7472500,2019
Pau Gasol (2014-2016) ,PF ,CHI ,CHI ,35,3,22346280,22346280,100,7448760,2017
Jose Calderon (2013-2016) ,PG ,NYK ,DAL ,33,4,29000000,29000000,100,7250000,2017
Louis Williams (2015-2017) ,SG ,LAL ,LAL ,28,3,21000017,21000017,100,7000006,2018
Jae Crowder (2015-2019) ,SF ,BOS ,BOS ,25,5,35000000,35000000,100,7000000,2020
Boris Diaw (2014-2017) ,C ,SAS ,SAS ,33,4,28000000,17500000,62.5,7000000,2018
Rodney Stuckey (2015-2017) ,PG ,IND ,IND ,29,3,21000000,21000000,100,7000000,2018
Marvin Williams (2014-2015) ,PF ,CHA ,CHA ,29,2,14000000,14000000,100,7000000,2016
J.J. Redick (2013-2016) ,SG ,LAC ,MIL ,31,4,27755000,27755000,100,6938750,2017
Kevin Martin (2013-2016) ,SG ,MIN ,MIN ,32,4,27755000,27755000,100,6938750,2017
Isaiah Thomas (2014-2017) ,PG ,BOS ,SAC ,26,4,27000002,27000002,100,6750001,2018
Ed Davis (2015-2017) ,PF ,POR ,POR ,26,3,19997700,19997700,100,6665900,2018
Carl Landry (2013-2016) ,PF ,PHI ,SAC ,31,4,26000000,26000000,100,6500000,2017
Aron Baynes (2015-2017) ,PF ,DET ,DET ,28,3,19500000,19500000,100,6500000,2018
Greivis Vasquez (2014-2015) ,PG ,MIL ,TOR ,28,2,13000000,13000000,100,6500000,2016
Marco Belinelli (2015-2017) ,SG ,SAC ,SAC ,29,3,19000000,19000000,100,6333333,2018
Jarrett Jack (2013-2016) ,PG ,BKN ,CLE ,31,4,25200000,19400000,76.98,6300000,2017
Jodie Meeks (2014-2016) ,SG ,DET ,DET ,27,3,18810000,18810000,100,6270000,2017
Patrick Patterson (2014-2016) ,PF ,TOR ,TOR ,26,3,18150001,18150001,100,6050000,2017
Jason Thompson (2012-2016) ,PF ,GSW ,SAC ,29,5,30187500,26012500,86.17,6037500,2017
Kyle Korver (2013-2016) ,SF ,ATL ,ATL ,34,4,24000000,24000000,100,6000000,2017
Gerald Henderson (2013-2015) ,SG ,POR ,CHA ,27,3,18000000,18000000,100,6000000,2016
Karl-Anthony Towns (2015-2016) ,C ,MIN ,MIN ,19,2,11663760,11663760,100,5831880,2019
Anthony Davis (2012-2015) ,PF ,NOP ,NOH ,22,4,23198010,23198010,100,5799503,0
Patrick Beverley (2015-2018) ,PG ,HOU ,HOU ,27,4,23027026,17999999,78.17,5756757,2019
Brandan Wright (2015-2017) ,C ,MEM ,MEM ,27,3,17129640,17129640,100,5709880,2018
Josh McRoberts (2014-2017) ,PF ,MIA ,MIA ,28,4,22652350,22652350,100,5663088,2018
Spencer Hawes (2014-2017) ,C ,CHA ,LAC ,27,4,22652350,22652350,100,5663088,2018
Andrew Wiggins (2014-2015) ,SG ,MIN ,CLE ,20,2,11269320,11269320,100,5634660,2018
Anthony Bennett (2013-2015) ,PF ,MIN ,CLE ,22,3,16691760,16691760,100,5563920,2017
Shaun Livingston (2014-2016) ,PG ,GSW ,GSW ,29,3,16631175,13848725,83.27,5543725,2017
Nikola Mirotic (2014-2016) ,PF ,CHI ,CHI ,24,3,16631175,16631175,100,5543725,2017
P.J. Tucker (2014-2016) ,SG ,PHX ,PHX ,30,3,16500000,12700000,76.97,5500000,2017
Deron Williams (2015-2016) ,PG ,DAL ,BKN ,31,2,11000000,11000000,100,5500000,2017
Mirza Teletovic (2015-2015) ,PF ,PHX ,PHX ,29,1,5500000,5500000,100,5500000,2016
Martell Webster (2013-2016) ,SF ,WAS ,WAS ,28,4,21990500,16145250,73.42,5497625,2017
Tim Duncan (2015-2016) ,PF ,SAS ,SAS ,39,2,10850000,10850000,100,5425000,2017
J.J Hickson (2013-2015) ,C ,DEN ,DEN ,26,3,16145250,16145250,100,5381750,2016
Jamal Crawford (2012-2015) ,SG ,LAC ,LAC ,35,4,21350000,21350000,100,5337500,2016
Courtney Lee (2012-2015) ,SG ,MEM ,HOU ,29,4,21350000,21350000,100,5337500,2016
Nick Young (2014-2017) ,SG ,LAL ,LAL ,30,4,21326174,21326174,100,5331544,2018
D'Angelo Russell (2015-2016) ,PG ,LAL ,LAL ,19,2,10435920,10435920,100,5217960,2019
Zaza Pachulia (2013-2015) ,C ,DAL ,MIL ,31,3,15600000,15600000,100,5200000,2016
Michael Kidd-Gilchrist (2012-2015) ,SF ,CHA ,CHA ,21,4,20760923,20760923,100,5190231,2016
Chris Andersen (2014-2015) ,PF ,MIA ,MIA ,37,2,10375000,10375000,100,5187500,2016
Alexis Ajinca (2015-2018) ,C ,NOP ,NOP ,27,4,20200000,19200000,95.05,5050000,2019
Jabari Parker (2014-2015) ,SF ,MIL ,MIL ,20,2,10083000,10083000,100,5041500,2018
Darren Collison (2014-2016) ,PG ,SAC ,SAC ,27,3,15040677,15040677,100,5013559,2017
Tony Allen (2013-2016) ,SG ,MEM ,MEM ,33,4,20000001,20000001,100,5000000,2017
Marcus Morris (2015-2018) ,PF ,DET ,PHX ,25,4,20000000,20000000,100,5000000,2019
Chase Budinger (2013-2015) ,SF ,IND ,MIN ,27,3,15000000,15000000,100,5000000,2016
C.J. Watson (2015-2017) ,PG ,ORL ,ORL ,31,3,15000000,11000000,73.33,5000000,2018
Jonas Jerebko (2015-2016) ,PF ,BOS ,BOS ,28,2,10000000,5000000,50,5000000,2017
Victor Oladipo (2013-2015) ,SG ,ORL ,ORL ,23,3,14934480,14934480,100,4978160,2017
Chris Kaman (2014-2015) ,C ,POR ,POR ,33,2,9816000,9816000,100,4908000,2016
Trevor Booker (2014-2015) ,PF ,UTH ,UTH ,27,2,9775000,9775000,100,4887500,2016
Mike Dunleavy (2015-2017) ,SF ,CHI ,CHI ,34,3,14512500,9337500,64.34,4837500,2018
Kyle Singler (2015-2018) ,SG ,OKC ,OKC ,27,4,19347826,19347826,100,4836957,2020
Jahlil Okafor (2015-2016) ,C ,PHI ,PHI ,19,2,9371520,9371520,100,4685760,2019
Timofey Mozgov (2013-2015) ,C ,CLE ,DEN ,29,3,14000000,14000000,100,4666667,2016
Bradley Beal (2012-2015) ,SG ,WAS ,WAS ,22,4,18652514,18652514,100,4663129,2016
Jameer Nelson (2015-2017) ,PG ,DEN ,DEN ,33,3,13621575,13621575,100,4540525,2018
Joel Embiid (2014-2015) ,C ,PHI ,PHI ,21,2,9054600,9054600,100,4527300,2018
C.J. Miles (2014-2017) ,SG ,IND ,IND ,28,4,17955350,17955350,100,4488838,2018
Kris Humphries (2014-2016) ,PF ,WAS ,BOS ,30,3,13320000,13320000,100,4440000,2017
Derrick Williams (2015-2016) ,PF ,NYK ,NYK ,24,2,8800000,8800000,100,4400000,2017
Patrick Mills (2014-2016) ,PG ,SAS ,SAS ,26,3,13000000,10000000,76.92,4333333,2017
Jason Smith (2015-2015) ,PF ,ORL ,ORL ,29,1,4300000,4300000,100,4300000,2016
Jared Dudley (2011-2015) ,SG ,WAS ,PHX ,30,5,21250000,21250000,100,4250000,2016
Kristaps Porzingis (2015-2016) ,PF ,NYK ,NYK ,20,2,8449440,8449440,100,4224720,2019
Dion Waiters (2012-2015) ,SG ,OKC ,CLE ,23,4,16821270,16821270,100,4205318,2016
Mario Chalmers (2014-2015) ,PG ,MIA ,MIA ,29,2,8300000,8300000,100,4150000,2016
Devin Harris (2014-2017) ,PG ,DAL ,DAL ,32,4,16562884,13500000,81.51,4140721,2018
Vince Carter (2014-2016) ,SG ,MEM ,DAL ,38,3,12264057,12264057,100,4088019,2017
Aaron Gordon (2014-2015) ,PF ,ORL ,ORL ,19,2,8163720,8163720,100,4081860,2018
Cody Zeller (2013-2015) ,C ,CHA ,CHA ,22,3,12091800,12091800,100,4030600,2017
LaVoy Allen (2015-2016) ,PF ,IND ,IND ,26,2,8050000,8050000,100,4025000,2018
Kyle O'Quinn (2015-2018) ,PF ,NYK ,ORL ,25,4,16012500,16012500,100,4003125,2019
Jose Barea (2015-2018) ,PG ,DAL ,DAL ,31,4,16001700,16001700,100,4000425,2019
Ian Mahinmi (2012-2015) ,C ,IND ,DAL ,28,4,16000000,16000000,100,4000000,2016
Thabo Sefolosha (2014-2016) ,SG ,ATL ,OKC ,31,3,12000000,12000000,100,4000000,2017
Alan Anderson (2015-2015) ,SG ,WAS ,WAS ,32,1,4000000,4000000,100,4000000,2016
Jordan Hill (2015-2015) ,C ,IND ,IND ,28,1,4000000,4000000,100,4000000,2016
Nemanja Bjelica (2015-2017) ,PF ,MIN ,MIN ,0,3,11700000,11700000,100,3900000,2018
Mario Hezonja (2015-2016) ,SG ,ORL ,ORL ,20,2,7651320,7651320,100,3825660,2019
Jonas Valanciunas (2012-2015) ,C ,TOR ,TOR ,23,4,15239922,15239922,100,3809981,2016
Steve Novak (2012-2015) ,SF ,OKC ,NYK ,32,4,15000002,15000002,100,3750001,2016
Nick Collison (2015-2016) ,PF ,OKC ,OKC ,34,2,7500000,7500000,100,3750000,2017
Raymond Felton (2012-2015) ,PG ,DAL ,POR ,31,4,14861532,10911219,73.42,3715383,2016
Dante Exum (2014-2105) ,SG ,UTH ,UTH ,20,2,7392720,7392720,100,3696360,2018
Marreese Speights (2013-2015) ,PF ,GSW ,GSW ,28,3,10972500,10972500,100,3657500,2016
Alex Len (2013-2015) ,C ,PHX ,PHX ,22,3,10949760,10949760,100,3649920,2017
Will Barton (2015-2017) ,SG ,DEN ,DEN ,24,3,10599999,10599999,100,3533333,2018
Paul Pierce (2015-2017) ,SF ,LAC ,LAC ,37,3,10583760,8000000,75.59,3527920,2018
Quincy Pondexter (2014-2017) ,SF ,NOP ,MEM ,27,4,14000000,14000000,100,3500000,2018
Willie Cauley-Stein (2015-2016) ,C ,SAC ,SAC ,22,2,6949440,6949440,100,3474720,2019
Damian Lillard (2012-2015) ,PG ,POR ,POR ,25,4,13845166,13845166,100,3461292,2016
Bojan Bogdanovic (2014-2016) ,SF ,BKN ,BKN ,26,3,10276530,10276530,100,3425510,2017
Drew Gooden (2015-2016) ,C ,WAS ,WAS ,33,2,6847000,3300000,48.2,3423500,2017
Matt Barnes (2013-2015) ,SF ,MEM ,LAC ,35,3,10188750,10188750,100,3396250,2016
Marcus Smart (2014-2015) ,PG ,BOS ,BOS ,21,2,6714360,6714360,100,3357180,2018
Evan Turner (2014-2015) ,SF ,BOS ,BOS ,26,2,6703510,6703510,100,3351755,2016
Anthony Morrow (2014-2015) ,SG ,OKC ,OKC ,29,3,10032000,6544000,65.23,3344000,2017
Mike Scott (2014-2016) ,PF ,ATL ,ATL ,27,3,10000000,6666666,66.67,3333333,2017
